"id","marital","timeWwa","edu","eduprog","edutime","worktime","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","tablet","moviefreq","bookfreq","pressfreq","musicfreq","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","bookquant","cdquant","artquant","age","ISCObroad","incomeclass","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro","cultcap","lifestab","wealth","cluster","can1","can2","ent_total","ent_avg","ent_wgh","ent_max","ent_min","places","fullent","connections","netcomm"
1,"single",5,"MA+","soc/beh","fl_edu","no_job","high","high","high",2,2,"no_car","apartment","rent","no_tv","no_tablet","sometimes","often","often","not_everyday","rarely","rarely","sometimes","sometimes","sometimes","sometimes","never",2,1,"hundreds","tens","few",24,"no_job","mid/high",1,6,10,4.25,2.5,3.83333333333333,1.83333333333333,3.01228014046288,4.01101500383478,5.75157167406572,2.63723818920476,4.35314736887311,4.21679663441528,4.44248008946457,5.13587668704729,3.90313595346272,3.50466442580891,4.95501440298259,4.20178717631016,3.58217806021924,4.28532660203782,3.93665296952266,1.84111411872756,4.27974406474447,5.669858372255,4.65046606326245,3.801322825942,3.41283361228184,4.36987603835098,3.25986577912457,3.06358135774127,"Kulturalnie_wycofani",3.62821585910552,2.94147253635238,15.2463198474834,1.27052665395695,1.31997727210858,1.52192809488736,0.76420450650862,12,1.44759694986086,129,"Main"
2,"single",4,"MA+","law/biz/menag","fl_edu","job","high","high","<=med",10,3,"1car+","apartment","own","tv","no_tablet","often","often","often","everyday","regularly","regularly","regularly","regularly","sometimes","regularly","regularly",3,1,"hundreds","hundreds","tens+",26,"high:mng/pro/self","mid/high",1,15,12,3.375,1.5,3.5,3.16666666666667,2.56204778969485,1.61980292065488,4.13766616651164,3.45424848317511,1.72967530801571,4.24035650509419,3.30923508091705,3.87191306341195,4.45346175037458,2.77157596494743,3.76485425621918,4.16202678190909,3.3132989747014,5.12501634896777,1.61980808782369,4.58618078116911,3.04838714513924,4.55155052284227,4.32902628180509,3.6010130785188,4.33238151298669,7,5.42699076024756,5.95563480716624,"Kulturalnie_wycofani",5.05086745985588,1.36836008037399,13.5749168089786,0.754162044943255,1.09639639787785,1.58496250072116,0,18,1.4977275178457,95,"None"
3,"relationship",7,"BA","human/lang","no_fl_edu","flexible","high","high","<=med",4,4,"no_car","apartment","family","no_tv","tablet","sometimes","often","often","everyday","regularly","never","sometimes","sometimes","rarely","sometimes","regularly",5,1,"hundreds","tens","tens+",27,"high:mng/pro/self","mid/high",4,12,12,2.375,1,2,4.16666666666667,4.83022142549578,5.40801234315149,6.45741121074781,4.98171001390988,3.80552208480831,6.50842871287584,6.53698656235893,5.15286838380864,4.65267024901982,4.72154348473178,4.57443755008218,4.60630214348381,5.31052233576806,6.25417433452704,4.169262389625,4.32120217469796,5.19385543307121,4.99120846052563,2.16681815690775,3.88287714077005,5.23775730151562,5.04615542166128,5.94600779948542,3.7887623713191,"Wolne_Zawody",2.6932796369249,5.47532544791136,0.811278124459133,0.405639062229566,0.540852082972755,0.811278124459133,0,2,0.811278124459133,3,"None"
4,"relationship",2,"BA","STEM/med","no_fl_edu","no_job","<=med","<=med","high",4,4,"1car+","apartment","family","tv","no_tablet","often","sometimes","rarely","everyday","rarely","rarely","sometimes","rarely","rarely","never","never",5,2,"thousands","hundreds","few",24,"no_job","mid/high",3,9,9,2.625,1.5,3.16666666666667,3,2.18728627738338,5.17768152870321,5.65223933706654,4.82770331299247,2.04012750736617,4.5852818089307,6.00605016005904,4.09123087377129,4.12692016525266,5.06822540049335,4.51087418286027,5.71915220810349,4,3.27582810855789,2.44106307327518,3.97899165912046,4.16723767350248,4.66529568713051,4.38891556560709,5.96298022485043,5.62358007587301,3.00096407441204,4.05533613117616,5.98323619405392,"Studenci",4.68538133606257,4.29739265180259,0.721928094887362,0.360964047443681,0.498840044850438,0.721928094887362,0,2,0.721928094887362,4,"None"
5,"single",5,"BA","law/biz/menag","fl_edu","no_job","high","high","<=med",2,4,"no_car","apartment","rent","tv","tablet","often","often","often","everyday","regularly","rarely","regularly","sometimes","sometimes","regularly","rarely",3,1,"thousands","tens","few",24,"no_job","mid/high",7,13,15,4.125,3,4.5,2.33333333333333,2.25738278756378,1.66838234193913,4.00553324059,1,1.50051710682011,6.33115027935116,3.19737080848754,4.62444433627777,6.30461657571827,4.1046940772667,6.4137487436618,2.64893553246788,5.50768007907914,6.49596021172921,2.91773120092736,5.89190326857307,5.45484540226467,6.29583419529934,5.40830187224657,3.76520442813579,2.92949121272113,5.91214201562056,2.55468029447218,4.92744519444159,"Wolne_Zawody",3.45240871094844,2.87637024832212,10.7657107761012,0.897142564675103,1.03292799083684,1.53049305675748,0,12,1.43879862024312,68,"None"
6,"relationship",26,"<=highschool+tech","STEM/med","fl_edu","job","<=med","<=med","don't_know",1,4,"no_car","apartment","family","no_tv","no_tablet","rarely","sometimes","rarely","everyday","rarely","never","sometimes","rarely","rarely","rarely","never",2,2,"tens","few","few",26,"low:phys/sale/serv/assoc_pro","low",0,6,5,2.75,1,2.33333333333333,3.16666666666667,1.50510039340293,2.35872544256935,2.31700281726387,1.9292879706802,2.61244183252639,2.36295677152276,1.96250785466993,1.53136644229082,1.72622669326582,1,5.30802552816682,2.93258613408511,2.31265900165014,4.65797541425891,4.09333030620271,2.72823967228921,3.40488495625832,3.51012850819478,2.7567699267033,3.90482282754142,4.25170772374403,1.4421394569298,4.28999224574639,2.38719004202813,"Kulturalnie_wycofani",6.32923739341129,1.19952048519012,7.79434270634026,0.779434270634026,1.20982271680868,1.58496250072116,0,10,1.58132162182116,68,"None"
7,"single",5,"BA","human/lang","fl_edu","job","high","high","don't_know",0,3,"no_car","apartment","rent","no_tv","no_tablet","often","sometimes","sometimes","everyday","rarely","rarely","regularly","sometimes","sometimes","sometimes","never",2,1,"hundreds","few","zero",24,"low:phys/sale/serv/assoc_pro","low",3,8,11,2.625,1,4.5,3,2.32433582057093,4.60030678514505,6.38802471041956,3.70558463802284,3.42853812625585,5.49270141716507,3.5778647435259,2.10455035719221,5.80516004150926,3.63704322626218,3.46607458458686,2.08416206554763,4.8616772150451,4.91207875623253,1.46244845742975,6.10260697246429,4.17811559208315,5.87947923612171,1.58045991756388,3.348008233407,5.62183604219784,3.99785064998708,4.23114972040302,1.30544656838903,"Wolne_Zawody",2.8263101540242,4.64984335061693,5.00179481399659,0.833632468999433,1.17305155543602,1.49669176167996,0,6,1.43282762185813,105,"Main"
8,"single",6,"MA+","human/lang","no_fl_edu","job","<=med","<=med","don't_know",2,3,"no_car","apartment","rent","no_tv","no_tablet","often","sometimes","sometimes","everyday","regularly","rarely","sometimes","sometimes","sometimes","rarely","regularly",3,2,"hundreds","tens","few",25,"low:phys/sale/serv/assoc_pro","mid/high",2,12,14,3.75,4.5,3.5,1.5,2.80326240881316,5.20692667444483,6.16692076688746,5.0354372050214,3.37058063346097,5.47342460430816,3.68027310971312,4.73168821644486,5.57587274778044,4.21058531292488,4.10628024578675,3.08533639531598,5.02478427644278,5.3250430528188,4.43098732873035,5.39398289760959,5.6299338772949,5.72761973421057,4.3205431030691,4.77700999264663,5.82229383844685,4.15586025888448,6.04533435199843,2.13592601982241,"Wolne_Zawody",2.76915948692901,4.59122920481303,4.76833693410482,0.953667386820964,1.15832763849873,1.44881563572518,0,5,1.41916759697361,33,"None"
9,"single",24,"BA","human/lang","fl_edu","flexible","high","high","high",2,4,"no_car","other","family","tv","tablet","rarely","often","often","everyday","rarely","never","sometimes","rarely","rarely","sometimes","rarely",1,1,"hundreds","hundreds","tens+",24,"low:phys/sale/serv/assoc_pro","mid/high",0,16,15,3.875,1,3,3.16666666666667,3.53258299680475,3.50800379352542,5.53440099818712,4.60887033533903,1.90200079151354,4.64976723939765,4.88167084169744,2.68294592445308,5.02994404144426,4.21756923427928,3.58866674065949,3.62735889415747,4.39833691054907,5.57140291595732,1.43840247001413,5.95960792277187,4.96664903468376,4.356485161604,3.16910567588048,2.81681956466323,4.30370175531152,4.51947015166427,3.62448284624179,3.24664018359931,"Studenci",4.87287626811626,4.639343634578,5.84572757932412,0.974287929887353,1.32214503800826,1.49669176167996,0,6,1.46856212561661,106,"Main"
10,"single",23,"BA","law/biz/menag","fl_edu","no_job","high","high","high",0,5,"1car+","other","own","tv","no_tablet","sometimes","sometimes","often","everyday","regularly","rarely","regularly","sometimes","regularly","regularly","regularly",5,4,"hundreds","hundreds","tens+",23,"no_job","low",2,15,15,4.75,4,4.16666666666667,1.83333333333333,3.40261794413887,5.41022847881047,5.49519532196962,4.71395090559325,2.32436839143541,4.43631367253649,4.7598213836028,3.43128731771733,4.64190434174244,3.90118171411162,3.41071237383805,3.32382889448308,4.70554265840482,3.84713478236242,2.20524465293413,5.67284365034979,3.35698924817697,4.99541319911086,5.4359145422963,2.51565790152117,2.50018209379905,6.84581882447962,1.53458146582486,5.67567102344489,"Studenci",4.66368439981741,4.49131864760093,11.2795119743183,1.02541017948349,1.15636942238903,1.5,0,11,1.38425145553531,30,"None"
11,"single",5,"BA","human/lang","fl_edu","flexible","high","high","<=med",2,5,"no_car","apartment","rent","no_tv","no_tablet","sometimes","often","sometimes","everyday","rarely","rarely","sometimes","rarely","sometimes","regularly","never",1,1,"hundreds","hundreds","zero",24,"high:mng/pro/self","mid/high",2,3,7,3.75,2,3,2.33333333333333,1.82955209157641,5.3753812762809,4.25522421964364,3.97085984162049,1.96917521074263,4.90520541703502,2.83159401849153,3.07808696089606,6.0858031023902,3.98313275758238,3.34828568111886,3.4141923839223,3.70831929733816,2.99443794654921,3.12159141517003,4.9181977982654,2.98633748367058,5.2741044100342,4.69810357038144,3.5816624743116,4.01055621150736,4.09138540964524,5.25647423715563,2.02320557486527,"Kulturalnie_wycofani",4.46610492942241,3.77078830240913,12.3611146149878,1.03009288458232,1.21338049935332,1.45933088592273,0,12,1.41688758163898,106,"None"
12,"relationship",2,"MA+","human/lang","no_fl_edu","flexible","<=med","<=med","<=med",1,3,"no_car","apartment","rent","no_tv","no_tablet","sometimes","often","often","everyday","rarely","rarely","sometimes","sometimes","sometimes","never","regularly",5,5,"hundreds","few","few",26,"high:mng/pro/self","low",2,10,15,3.625,2,3.5,2.83333333333333,2.44769974819449,4.26683321019877,5.78247189298226,3.41134879063409,5.3548615670478,4.61634534836264,4.76918196844375,5.28873805435896,4.69178149222692,4.41441956046206,4.51339080134533,4.93862225117708,4.59264369157204,4.41347589766162,3.26871019695768,2.65024904360457,4.2288621430024,4.8606749749755,4.89965134972767,4.94849093769467,4.96990978461194,3.58397051642939,5.56428580235187,2.2065388123666,"Wolne_Zawody",2.80238704551031,4.10946417428116,7.17397498040439,1.19566249673406,1.25302615204435,1.48547529722733,0,6,1.43858788752728,70,"None"
13,"single",25,"BA","human/lang","fl_edu","job","high","high","high",2,3,"no_car","apartment","own","tv","no_tablet","sometimes","sometimes","sometimes","everyday","regularly","rarely","regularly","regularly","regularly","regularly","regularly",2,2,"tens","few","few",25,"high:mng/pro/self","mid/high",5,14,14,4.25,2,4,2.66666666666667,4.45187339609752,4.69830660501862,6.42725794088855,5.1644220189803,3.66847717923962,6.13157375762657,5.51967021243615,3.6707536072565,5.95012284905339,4.048567793032,4.41929583842832,3.26966793402335,4.87610695626736,5.64226764375696,3.82788626440316,5.95662486482635,4.51505496654672,7,4.1106428749419,4.45497389229527,4.75913350238473,5.79235412468323,5.28934952624822,4.37277261579369,"Wolne_Zawody",2.26560451319376,4.58964702312305,8.74173286405103,0.514219580238296,0.800086993369153,1.49669176167996,0,17,1.45668774344008,103,"Main"
14,"single",2,"<=highschool+tech","soc/beh","fl_edu","flexible","high","high","high",0,3,"no_car","apartment","rent","no_tv","no_tablet","rarely","often","often","everyday","regularly","rarely","regularly","sometimes","sometimes","sometimes","never",2,1,"hundreds","hundreds","zero",24,"high:mng/pro/self","low",6,16,15,3.25,3,4.5,2.5,1.70835968914115,4.57106163940344,5.87334328059864,3.95241083510405,4.31432795322977,5.59470642509018,5.3969681814643,4.26000127242458,6.6629949189059,3.41071174368567,5.03082350733547,2.78175575513346,4.36198334381989,5.68014639883654,3.27434518143027,2.93121864232663,4.26334563593231,6.41465643141844,5.97294985270924,4.35461576095837,5.29069155582359,5.42256407944992,4.60515545355564,1.93061181620369,"Wolne_Zawody",2.0132322794482,3.85214042702907,8.54410115064601,0.854410115064601,0.965742460521913,1.45933088592273,0,10,1.37543725445974,67,"None"
