"id","marital","timeWwa","dog","edu","eduprog","edutime","worktime","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","tablet","internetuse","tvtime","moviefreq","movie30","bookfreq","book12","pressfreq","musicfreq","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","age","ISCObroad","incomeclass","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro"
1,"single","5","no","MA+","soc/beh","fl_edu","no_job","high","high","high","2","2","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,"sometimes",5,"often",10,"often","not_everyday","rarely","rarely","sometimes","sometimes","sometimes","sometimes","never","2","1","sometimes","run","hundreds","tens","few","24","no_job","mid/high",1,31,15,39,2.5,3.83333333333333,1.83333333333333,-0.580802358224974,-0.304802048399431,0.289697541841797,-1.3262248036072,1.10145245803473,-0.435947315676051,-0.0680131235760522,0.724701346979296,-0.650073153045488,-0.601723779065771,0.70570406292273,0.0964214975419156,-0.530648455558846,-0.385615226172885,0.445564768976739,-1.78803849149691,-0.25498838708822,0.86388525321357,0.658102481568991,-0.180548172250379,-0.824112334151539
2,"single","4","no","MA+","law/biz/menag","fl_edu","full","high","high","<=med","10","3","1car+","apartment","own","tv","no_tablet","no_blog/web",0.5,"often",15,"often",50,"often","everyday","regularly","regularly","regularly","regularly","sometimes","regularly","regularly","3","1","regularly","run","hundreds","hundreds","tens+","26","high:mng/pro/self","mid/high",1,33,23,32,1.5,3.5,3.16666666666667,-0.938583877076536,-2.29666902900624,-1.40606509333481,-0.657377068807507,-1.45751399578495,-0.415365576039918,-1.03020011561346,-0.251112901370512,-0.19849219238512,-1.35328872174175,-0.523626914857,0.0659098177546995,-0.786211631043219,0.391749343635425,-1.45653987803991,0.281373850508588,-1.41783530063558,-0.212265088294287,0.412595470353554,-0.365395498884219,-0.0538457347571211
3,"nf_rel","7","no","BA","human/lang","no_fl_edu","flexible","don't_know","high","<=med","4","4","no_car","apartment","family","no_tv","tablet","no_blog/web",0,"sometimes",4,"often",10,"often","everyday","regularly","never","sometimes","sometimes","rarely","sometimes","regularly","5","1","regularly","ind","hundreds","tens","tens+","27","high:mng/pro/self","mid/high",4,37,17,24,1,2,4.16666666666667,0.863842374727914,0.858889324588321,1.03133718997079,0.59308353415608,0.567292116823664,1.56600657547574,1.71033742529609,0.737819398395738,-0.0350276306750834,0.645825035286344,0.312601575019139,0.406841736914739,1.11210166960919,1.43709664589696,0.636534592814087,0.0816154963303702,0.608263823845148,0.210818805852613,-1.23884061500757,-0.105289243190026,0.704549482359527
4,"married","2","no","BA","STEM/med","no_fl_edu","no_job","<=med","<=med","high","4","4","1car+","apartment","family","tv","no_tablet","no_blog/web",1,"often",10,"sometimes",5,"rarely","everyday","rarely","rarely","rarely","rarely","rarely","never","never","5","2","regularly","run","thousands","hundreds","few","24","no_job","mid/high",3,37,21,26,1.5,3.16666666666667,3,-1.23639175972464,0.667024977990635,0.185327078540475,0.467005522884023,-1.15469515677176,-0.114041222683826,1.25954338160835,-0.0817935948148438,-0.466442492975035,1.00124458975588,0.246946195286945,1.26083036892749,-0.133518639709602,-1.32018464895711,-0.782298397070605,-0.176365365915892,-0.361235168770363,-0.102807842279303,0.458337285518439,1.8142453733792,1.02773699237982
5,"single","5","no","BA","law/biz/menag","fl_edu","no_job","high","high","<=med","2","4","no_car","apartment","rent","tv","tablet","no_blog/web",0,"often",20,"often",30,"often","everyday","regularly","rarely","regularly","sometimes","sometimes","regularly","rarely","3","1","regularly","ind","thousands","tens","few","24","no_job","mid/high",7,36,23,38,3,4.5,2.33333333333333,-1.18068888578465,-2.25620262877611,-1.54489978818262,-2.66655437137259,-1.68103768343022,1.41113736538403,-1.12517900102091,0.329861681014416,1.32051033130298,0.0134287907507181,2.21244861173388,-1.09521940108787,1.29949541522117,1.66093619509258,-0.39095900794971,1.26571359993549,0.854732881931679,1.46626329795196,1.23691697556902,-0.213878498720564,-1.22898793243999
6,"nf_rel","26","no","<=highschool+tech","STEM/med","fl_edu","part","<=med","<=med","don't_know","1","4","no_car","apartment","family","no_tv","no_tablet","no_blog/web",0,"rarely",0,"sometimes",3,"rarely","everyday","rarely","never","rarely","rarely","rarely","rarely","never","2","2","sometimes","ind","tens","few","few","26","low:phys/sale/serv/assoc_pro","low",0,24,14,27,1,2.33333333333333,3.16666666666667,-1.77849741093621,-1.68115048801976,-3.31907230747395,-1.90579020627798,-0.596452825558673,-2.05544896342009,-2.17364518631218,-2.05807846518006,-2.43638006525374,-3.1695148112606,1.07033357338819,-0.877549117420796,-1.73729612516469,-0.0406259195141351,0.574195171700452,-1.11926472561099,-1.08117224807474,-1.21442800551358,-0.788251409442866,-0.0850376000073261,-0.121422774792312
7,"single","5","no","BA","human/lang","fl_edu","part","high","high","don't_know","0","3","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,"often",10,"sometimes",20,"sometimes","everyday","rarely","rarely","regularly","sometimes","sometimes","sometimes","never","2","1","regularly","run","hundreds","few","zero","24","low:phys/sale/serv/assoc_pro","low",3,32,16,26,1,4.5,3,-1.12748400657027,0.186074879411155,0.958431413212744,-0.451620031125348,0.199577393287167,0.678674254066078,-0.802118840083359,-1.61556491445222,0.910671172768447,-0.4660085538428,-0.832240093400507,-1.52862021198431,0.68548505816204,0.194616842282567,-1.58573043654015,1.42455595203741,-0.350962473789767,1.06560391624164,-1.68668517920615,-0.598870254086823,1.02627608872578
8,"single","6","no","MA+","human/lang","no_fl_edu","full","<=med","<=med","don't_know","2","3","no_car","apartment","rent","no_tv","no_tablet","blog/web",0,"often",15,"sometimes",8,"sometimes","everyday","regularly","rarely","sometimes","sometimes","sometimes","rarely","regularly","3","2","regularly","run","hundreds","tens","few","25","low:phys/sale/serv/assoc_pro","mid/high",2,36,17,35,4.5,3.5,1.5,-0.746900332679663,0.69138602925644,0.726113099546312,0.637067447623629,0.143044952167474,0.661834164040018,-0.715168536240914,0.412656869387302,0.72252484753656,0.121988868703395,-0.170963832719746,-0.76033028374735,0.840514440512242,0.576929254617834,0.851407943570036,0.890348376530937,1.02007981712565,0.919469151177879,0.40611624787637,0.719823211151467,1.19419115320526
9,"single","24","yes","BA","human/lang","fl_edu","flexible","high","high","high","2","4","no_car","other","family","tv","tablet","no_blog/web",1,"rarely",4,"often",25,"often","everyday","rarely","never","sometimes","rarely","rarely","sometimes","rarely","1","1","sometimes","ind","hundreds","hundreds","tens+","24","low:phys/sale/serv/assoc_pro","mid/high",0,40,22,36,1,3,3.16666666666667,-0.167338630247078,-0.723807718259495,0.0615119907749925,0.28785730102785,-1.28942562999344,-0.0577071978378176,0.304883845423809,-1.16902782654757,0.274552008460564,0.129148810146489,-0.705613155418485,-0.344388310051218,0.245091119307158,0.805003289970661,-1.60547193273036,1.31675383474188,0.393698692568858,-0.399976956026558,-0.473320516512322,-1.08905511337891,-0.077869561464764
10,"single","23","no","BA","law/biz/menag","fl_edu","no_job","high","high","high","0","5","1car+","other","own","tv","no_tablet","no_blog/web",2,"sometimes",4,"sometimes",5,"often","everyday","regularly","rarely","regularly","sometimes","regularly","regularly","regularly","5","4","regularly","rival","hundreds","hundreds","tens+","23","no_job","low",2,40,24,43,4,4.16666666666667,1.83333333333333,-0.270616624067602,0.860735353836298,0.0203178065397366,0.373881800235133,-0.87744315245672,-0.244178753535792,0.201426991273851,-0.591287945017668,-0.0438618135863349,-0.195212820343201,-0.889424398266509,-0.577313820358264,0.53708287574244,-0.791282672561156,-0.975902775475906,1.10057200837099,-1.12640314370525,0.214865035937494,1.25800678612344,-1.36696933888487,-1.58860212422668
11,"single","5","no","BA","human/lang","fl_edu","flexible","high","high","<=med","2","5","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,"sometimes",3,"often",15,"sometimes","everyday","rarely","rarely","sometimes","rarely","sometimes","regularly","never","1","1","sometimes","run","hundreds","hundreds","zero","24","high:mng/pro/self","mid/high",2,31,12,35,2,3,2.33333333333333,-1.52066871166915,0.831707818983401,-1.28254450738212,-0.234451752666358,-1.22390288708842,0.165441822668735,-1.43574350090293,-0.863968213866814,1.1409585111895,-0.111196314046046,-0.953905692997082,-0.507969894178531,-0.410754209951931,-1.58068889238503,-0.223591971893139,0.531670181135328,-1.47643265464129,0.483050260576562,0.694486721072614,-0.383252380551062,-0.323425253539725
12,"nf_rel","2","yes","MA+","human/lang","no_fl_edu","flexible","<=med","<=med","<=med","1","3","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,"sometimes",3,"often",20,"often","everyday","rarely","rarely","sometimes","sometimes","sometimes","never","regularly","5","5","regularly","ind","hundreds","few","few","26","high:mng/pro/self","low",2,34,19,34,2,3.5,2.83333333333333,-1.02945166100168,-0.0917068395391308,0.322165016803729,-0.692497020650737,2.07853663121482,-0.0869043300633884,0.20937463975577,0.842714474458347,-0.00293410920254146,0.330960476830548,0.249545641312216,0.661860452536865,0.429775093074545,-0.266977690787871,-0.102809039590609,-1.17805920654983,-0.30303934998214,0.0852061177839844,0.848423463749769,0.878067104264692,0.48018488336094
13,"single","25","no","BA","human/lang","fl_edu","full","high","high","high","2","3","no_car","apartment","own","tv","no_tablet","no_blog/web",7,"sometimes",7,"sometimes",24,"sometimes","everyday","regularly","rarely","regularly","regularly","regularly","regularly","regularly","2","2","sometimes","ind","tens","few","few","25","high:mng/pro/self","mid/high",5,39,23,39,2,4,2.66666666666667,0.563184431375581,0.267708209505395,0.999654549248394,0.742661221994243,0.433616854468268,1.23678870007931,0.846580204836539,-0.406413465276152,1.02962333575652,-0.044112078933542,0.15235380281763,-0.618876332687635,0.699200183981798,0.870608150387217,0.356268477765055,1.31450500887043,-0.0327696692427706,2.14388375067856,0.245800130725879,0.422645899536311,0.303626457182491
14,"single","2","no","<=highschool+tech","soc/beh","fl_edu","flexible","high","high","high","0","3","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,"rarely",2,"often",30,"often","everyday","regularly","rarely","regularly","sometimes","sometimes","sometimes","never","2","1","regularly","ind","hundreds","hundreds","zero","24","high:mng/pro/self","low",6,40,23,31,3,4.5,2.5,-1.61697543361524,0.16171382814535,0.417645392206907,-0.249555082831094,1.06358752938909,0.767785121579254,0.742399469684656,0.0485017369700138,1.61458492748707,-0.698044408736071,0.784008214370053,-0.993294655011167,0.210537918802175,0.905675390704215,-0.0981827781452112,-0.966245787488222,-0.270474443184254,1.58060622243866,1.66817983122341,0.330034668569101,0.748890280730144
15,"nf_rel","15","no","MA+","human/lang","no_fl_edu","flexible","<=med","high","<=med","1","4","1car+","apartment","rent","tv","no_tablet","no_blog/web",4,"sometimes",3,"often",10,"often","everyday","rarely","regularly","sometimes","sometimes","regularly","regularly","regularly","3","3","regularly","ind","tens","tens","zero","26","high:mng/pro/self","mid/high",2,34,19,44,4,3.33333333333333,1.16666666666667,0.644342264900112,0.335834569844773,-1.64352326017095,-0.738662868173784,1.46248336868249,-0.0204231563155235,-0.119719712518335,-0.101592618807915,-0.323347694432819,1.27881119975849,0.613432239345363,-0.752486050138053,-0.0702454069168532,0.459683477782205,0.789233261534775,-1.05762848812649,0.445332319087673,-0.964848056220199,2.05332831317876,0.326465177160533,-0.59807167349199
16,"single","26","no","MA+","law/biz/menag","no_fl_edu","flexible","<=med","<=med","high","0","4","no_car","apartment","family","tv","tablet","blog/web",2,"often",10,"sometimes",4,"often","everyday","rarely","rarely","sometimes","sometimes","regularly","regularly","rarely","4","1","regularly","ind","tens","tens","few","26","high:mng/pro/self","low",1,36,20,44,1.5,4,3.16666666666667,0.40049867584262,-1.65210277667211,1.51526398329041,-0.122925700356439,0.989437000843358,1.97516481813637,1.68521897153731,1.61474216503224,0.589920029687783,0.774462451192464,-0.0812953005190593,0.227506615156153,2.2719959987613,0.978444217775332,0.839081075874428,0.480256207561724,0.411092291868363,-0.757139995408637,-0.590556358777119,-0.217906483863426,-0.52519379267302
