"","popularity","dcluster","ent","r_ent","cluster1","cluster2","cluster3","timeWwa","income","lifestd","sportint","football","age","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro","cultcap","lifestab","wealth","can1","can2"
"grawitacja/jaś_i_małgosia",11,"Wolne_Zawody",1.309296668237,0.826074224242703,0.636363636363636,0.181818181818182,0.181818181818182,12.0909090909091,1.18181818181818,3.27272727272727,2.27272727272727,1.81818181818182,23,3.36363636363636,35.6363636363636,19,37.4545454545455,2.27272727272727,4.03030303030303,2.59090909090909,-0.385227715608947,-0.163010964453986,0.199292828961022,0.0109971100010743,-0.117504702336766,0.652652353474402,0.139643584019461,0.227477608065058,0.700954494590457,0.247212065025757,0.754494278369647,-0.0913737395340176,0.24352307759448,0.224140771621217,0.164933596700745,-0.0124351860187801,-0.00584414283505897,0.562246934520513,0.281706132291154,-0.174267543696675,-0.766102167992288,0.223175749567029,-0.0716389579464867,-0.105081433064337,-0.783509849752201,0.0168042834279576
"pawilony",41,"Wolne_Zawody",1.42435185978431,0.898665967892759,0.560975609756098,0.24390243902439,0.195121951219512,15.9756097560976,1.46341463414634,3.51219512195122,2.65853658536585,2.14634146341463,24.0975609756098,2.21951219512195,32.9512195121951,18.2439024390244,35.2926829268293,2.41463414634146,3.64227642276423,2.76829268292683,-0.132035924952179,0.024279893947829,0.149338063495598,-0.00841439846187593,0.208592045729592,0.245738822146536,0.011238698043673,-0.185840612904069,0.162861474158802,0.108642131120431,0.0652384149338046,-0.242341030410422,0.422385950006803,-0.00647871101598845,0.165944328258514,0.191290633961264,0.107384340829057,0.247424640501885,0.100679449523638,-0.298874083833672,0.278606397075238,0.0654348114659089,0.0796353497250072,-0.0414902711219,-0.434910082829187,0.477960213121312
"francuska",5,"Studenci",1.52192809488736,0.960229717860761,0.4,0.4,0.2,8.2,2.6,3.4,3,3.2,22.2,2.4,33.8,20.2,39.4,3.1,3.83333333333333,2.46666666666667,0.737208312727595,-0.22369580851944,-0.227079137782836,0.437016463137869,0.511667307830844,0.27261759414996,0.41261295448725,-0.151694133905718,-0.160649718317485,0.116730014167795,0.56207487520734,-0.217855385736443,0.472622960594704,-0.275317585388999,0.0644591197555544,-0.0807817456094646,0.290827444945859,0.371257752550697,0.685870144488359,-0.354007766430936,0.15806857978849,0.0541767450310138,0.361761442282994,0.199925398609472,-0.312833371905529,0.507248523180874
"warszawianka",5,"Studenci",1.52192809488736,0.960229717860761,0.4,0.4,0.2,17.6,1.2,3.2,3,2.6,25.2,2,35.8,18.2,38.8,2.7,3.66666666666667,2.23333333333333,0.363448925431395,0.199675808950334,0.318122599995703,0.551051499236837,-0.0255953184590136,0.298906069761526,0.300327367903236,-0.120755841491643,-0.243925854144635,0.0272761242308389,0.0197318676163511,-0.4578809979599,0.434390852404238,0.0737110987826085,0.185617646766821,0.304484145816978,-0.00551619022484828,-0.236416534041513,0.17561993979263,0.420519134487398,0.198915597597328,0.102135825370089,-0.145195803151556,0.0382670439625383,0.080319053197952,0.482555023019578
"rock_n_roll",7,"Kulturalnie_wycofani",1.44881563572518,0.914100892018565,0.428571428571429,0.142857142857143,0.428571428571429,13.8571428571429,2.71428571428571,2.85714285714286,2,1.85714285714286,25,2.71428571428571,27.5714285714286,17.7142857142857,35.8571428571429,2.5,3.4047619047619,2.5,-0.132748641668594,-0.0697582240517673,0.679004296399558,-0.442539373613982,0.140605502704678,-0.151573107859775,0.304239140524456,0.982802323906574,-0.684793204850351,-0.0679244071096113,0.604214125004946,0.298629499095015,-0.538196403618759,0.127062449194991,-0.348233961082434,-0.678713699906214,-0.255938319538454,0.19256181071323,0.0859734138227433,1.49398654932923,-0.0875134216663227,-0.149050092620756,0.345433263739725,-0.179021142191355,-0.573380071786167,-1.25031460818415
"plan_b",15,"Wolne_Zawody",1.15893853235028,0.731208802620227,0.666666666666667,0.0666666666666667,0.266666666666667,17.7333333333333,1.66666666666667,3.4,2.4,2.06666666666667,24.9333333333333,3.86666666666667,33.6,18.8666666666667,36.6666666666667,2.63333333333333,3.9,2.6,-0.477341330112794,0.137171865312541,-0.0367890780721361,-0.237960134862036,0.248663279979856,0.231910857999977,-0.475351297197878,-0.26560186080113,0.400760340183783,-0.342657204096251,0.492265831599521,-0.288229616121711,0.305840690985663,0.205762039588039,0.0381464525703406,0.396259545892252,-0.0654989861798266,0.608564309409224,0.356077282876991,-0.144573836169117,-0.21043331870325,0.348948467226428,0.178574495497702,-0.0728321127066217,-1.2326549103218,-0.358161532105969
"sen_pszczoły(kiedyś)",5,"Kulturalnie_wycofani",0.970950594454669,0.970950594454669,NA,0.4,0.6,8.8,2.4,3.4,2,1.6,24.2,2.2,30.8,16.2,33.8,2.2,3.56666666666667,2.43333333333333,-0.485601769334307,0.172646426070687,0.3790664593605,-1.03371268336535,0.221392074049595,0.0797812468846612,0.105862635767063,0.625000065070195,-0.0442764027266347,0.116854500053926,0.747505556704436,0.354979786634803,-0.353948806051331,-0.30548185827162,0.0981074097302828,-0.813643148947977,-0.907750126308559,0.638091003109529,0.388147288584812,0.809105483729002,-0.57197636096086,0.0105256511230226,0.350476864158641,-0.343346036426427,-0.832666084282482,-1.08986310577984
"filtry/pole_mokotowskie",71,"Wolne_Zawody",1.49669176167996,0.944307364369165,0.492957746478873,0.295774647887324,0.211267605633803,13.0845070422535,1.56338028169014,3.47887323943662,2.47887323943662,1.90140845070423,24.1549295774648,2.43661971830986,33.4647887323944,17.5352112676056,34.5211267605634,2.27464788732394,3.74647887323944,2.83802816901408,0.0385606135290076,0.138073996047806,0.131331571738866,0.0873664032362084,-0.0188326131771763,0.177373019721737,0.0321187718440406,-0.0562097146128923,0.224689859778759,0.00129263937574223,0.191920259454563,-0.0930438950140488,0.235913143597378,0.0809386520569146,-0.0164588542095153,0.361106735404497,0.0375985712905294,0.227251592994948,0.0518506226096039,0.0355393763356905,-0.0370923220906728,0.113012928343745,0.116037481760999,0.0362255259578766,-0.411591195372935,0.163374200658123
"kino_muranów",16,"Wolne_Zawody",1.19946029330164,0.756775187271553,0.6875,0.125,0.1875,11.125,1.6875,3.3125,2,1.5,23.6875,3.875,34.9375,18.5625,36.25,2.15625,3.95833333333333,2.59375,-0.439367045461303,0.0435897770734948,0.241546510455111,-0.211701876080748,-0.106875037031038,0.5318570100748,-0.334304993834868,-0.727085603133449,0.395147222024035,-0.236661234868903,0.548288430500633,-0.584102010191835,0.125123827268123,0.0480799562164165,-0.442944063003444,0.33201581709645,-0.09878957782316,0.449486755214058,-0.0413245615155408,0.199232774640637,-0.204439893171969,0.215185319926893,0.0979490609262774,-0.14453155192045,-0.855408350475729,-0.265455458223255
"kino_luna",9,"Wolne_Zawody",0.76420450650862,0.76420450650862,NA,0.777777777777778,0.222222222222222,12.4444444444444,1.44444444444444,3.22222222222222,3.11111111111111,2.22222222222222,24.7777777777778,3.33333333333333,32.3333333333333,18.4444444444444,35.3333333333333,2,3.85185185185185,2.72222222222222,-0.869740019115683,-0.0156524799348602,-0.0964102657951351,-0.886703061662803,0.101048995974651,0.201506539523375,-0.437092639540986,-0.220773446906155,0.560561022960432,-0.42996556878032,0.777922120158575,-0.414825470498567,-0.0542193822324483,0.175289458974038,-0.671760336558644,0.233037925491872,-0.276077851644522,0.541991528812675,0.247374487904653,-0.336162040082272,-0.138695687038886,0.244878493682656,-0.043525214365443,-0.199328372416719,-1.08295549227872,-0.651078222136028
