"","id","trainfav"
"1",1,"Biegam"
"2",2,"jogging"
"3",3,"pole dance"
"4",4,"biegi"
"5",5,"gimnastyka, pływanie, rower"
"6",6,"jazda na rowerze i bieganie"
"7",7,"bieganie"
"8",8,"Bieganie"
"9",9,"fitness"
"10",10,"krykiet"
"11",11,"jogging"
"12",12,"jazda na rowerze"
"13",13,"joga"
"14",14,"jazdę na rowerze"
"15",15,"pilates"
"16",16,"rower, aerobik"
"17",17,"rower"
"18",18,"Joga, zumba"
"19",19,"basen"
"20",20,"bieganie"
"21",21,"fitness"
"22",22,"siłownia"
"23",23,"gimnastyka, szermierka"
"24",24,"trening siłowy"
"25",25,"rower"
"26",26,"szermierka"
"27",27,"rower"
"28",28,"bieganie"
"29",29,"rolki"
"30",30,"jazda na rowerze, fitnes"
"31",31,"bieganie"
"32",32,"rower"
"33",33,"Wspinaczkę"
"34",34,"spacery, bieganie, treningi"
"35",35,"ćwiczenia w dom, rolki, taniec"
"36",36,"joga"
"37",37,"Pływanie"
"38",38,"plywanie"
"39",39,"ćwiczenia i rower"
"40",40,"rower"
"41",41,""
"42",42,"żaglarstwo"
"43",43,"fitness"
"44",44,"siłownia"
"45",45,"rower"
"46",46,"piłka nożna"
"47",47,"fitness"
"48",48,"bieganie"
"49",49,"ćwiczenia aerobowe"
"50",50,"taniec"
"51",51,"boks"
"52",52,"pływanie"
"53",53,"jazda na rowerze, bieganie"
"54",54,"fitness"
"55",55,"Bieganie"
"56",56,"fitness"
"57",57,"bieganie"
"58",58,"bieganie"
"59",59,""
"60",60,"aerobic"
"61",61,"pilka nożna"
"62",62,"rower"
"63",63,"pływanie, crossfit, siłownia"
"64",64,"psie zaprzęgi"
"65",65,"spacery, pływanie, rower"
"66",66,"Fitnes"
"67",67,"Joga"
"68",68,"rowerek, steper i trening siłowy"
"69",69,"bieganie"
"70",70,"pilates"
"71",71,"bieganie, pilates, pływanie"
"72",72,"pływanie"
"73",73,"bieganie, squash, gimnastyka"
"74",74,"rower"
"75",75,"ultimate frisbee"
"76",76,"Sporty walki"
"77",77,"bieganie, jazda rowerem"
"78",78,"siłownia, pole dance"
"79",79,"Fitness"
"80",80,"joga"
"81",81,"siłownia, zajęcia fitness w klubie"
"82",82,"dlugie spacery/marsze"
"83",83,""
"84",84,"pływanie"
"85",85,"bieganie"
"86",86,""
"87",87,"taniec"
"88",88,"taniec, bieganie, rolki, pilates, joga"
"89",89,"Wspinaczkę"
"90",90,"bieganie, wspinaczka"
"91",91,"Bieg"
"92",92,"bieganie"
"93",93,"bieganie"
"94",94,""
"95",95,"jazda na rowerze"
"96",96,"fitnerss"
"97",97,"bieganie"
"98",98,"joga, basen"
"99",99,""
"100",100,"rower, rolki"
"101",101,"pływanie"
"102",102,"jogging, fitness"
"103",103,"bieganie"
"104",104,"rower, bieganie"
"105",105,"joga"
"106",106,"fitness"
"107",107,""
"108",108,""
"109",109,"rower"
"110",110,"gry zespołowe"
"111",111,"jeżdżęna hulajnodzę z pracy i do pracy. Duże dystanse wymagają wysiłku "
"112",112,"Bieganie"
"113",113,"Capoeira"
"114",114,"biegi"
"115",115,"szermierka, bieganie"
"116",116,"jazda na rowerze"
"117",117,""
"118",118,"taniec"
"119",119,"taniec"
"120",120,"Silownia"
"121",121,"ćwiczenia w domu, fitness, jazda na rowerze"
"122",122,"Przechadzki filozoficzne"
"123",123,"bieganie"
"124",124,"Bieganie, Siłownia"
"125",125,"fitness"
"126",126,"bieganie"
"127",127,"rower"
"128",128,"boks"
"129",129,"Bieganie/Pływanie"
"130",130,"jazda hulajnogą do pracy :)"
"131",131,"squash"
"132",132,"pływanie, rower"
"133",133,"krav maga"
"134",134,"bieganie, longboard"
"135",135,"biegi"
"136",136,"Jogging"
"137",137,"Bieganie"
"138",138,"siłownia"
"139",139,"siłownia"
"140",140,"Kulturystyka"
"141",141,"biegi przełajowe z kanapy na fotel he he"
"142",142,"Spacery"
"143",143,"bieganie"
"144",144,"Sporty walki"
"145",145,""
"146",146,"Wushu"
"147",147,"jazda konna"
"148",148,"Siłownia"
"149",149,"piłka nożna"
"150",150,"wspinaczka"
"151",151,"siłownia"
"152",152,"fitness"
"153",153,"basen"
"154",154,"pływanie, tenis"
"155",155,""
"156",156,"jazda na rowerze, aerobik"
"157",157,"Bieganie, siłownia, rugby"
"158",158,"Aerobik"
"159",159,"judo, taniec, fechtunek"
"160",160,"szermierka historyczna"
"161",161,""
"162",162,"Trening na siłowni"
"163",163,"bieganie, siatkówka, "
"164",164,"rower, rolki"
"165",165,""
"166",166,"pole dance, kalistenika"
"167",167,"Bieganie"
"168",168,"siłownia"
"169",169,"pole dance, siłownia"
"170",170,""
"171",171,""
"172",172,""
"173",173,"cwiczę w domu"
"174",174,"fitness, bieganie"
"175",175,"spacery, aerobik"
"176",176,"poker, snowboard, siłownia"
"177",177,"jeżdżenie na rowerze"
"178",178,"Siłownia,  Zumba"
"179",179,"crossfit, biegi"
"180",180,"trening indywidualny"
"181",181,"fitness"
"182",182,"gimnastyka"
"183",183,"bieganie"
"184",184,"jogging, fitness"
"185",185,"fitness"
"186",186,"spacery"
"187",187,"biegi"
"188",188,"aerobic"
"189",189,"bieganie"
"190",190,"akrobatyka sportowa"
"191",191,""
"192",192,""
"193",193,"Jazda konna"
"194",194,"bieganie"
"195",195,"pływanie "
"196",196,"jogging"
"197",197,"fitness, siłownia"
"198",198,"łyżwiarstwo figurowe"
"199",199,""
"200",200,"plywanie, aquaaerobik, zumba, pilates, siłownia"
"201",201,"bieganie"
"202",202,"jazda rowerem"
"203",203,"fitness"
"204",204,"pływanie"
"205",205,"siłownia i joga"
"206",206,"aerobik wodny"
"207",207,"nordic walking"
"208",208,"jazda rowerem, aqua fitness"
"209",209,"bieganie"
"210",210,"bieganie"
"211",211,"pływanie"
"212",212,"joga, pilates"
"213",213,"pływanie, piłka nożna"
"214",214,"fitness"
"215",215,"fitness"
"216",216,"jazda na rowerze"
"217",217,"bieganie, pływanie"
"218",218,"Bieganie, judo"
"219",219,"bieganie, kolarstwo, pływanie"
"220",220,"koszykówka"
"221",221,"Ćwiczenia siłowe"
"222",222,"zumba, joga"
"223",223,"aqua-fitness"
"224",224,""
"225",225,"taniec"
"226",226,"zajęcia fitness, bodyshape itd. "
"227",227,"joga, pilates"
"228",228,"pływanie, rower, wspinaczka, bieganie"
"229",229,""
"230",230,"Bieganie"
"231",231,""
"232",232,"pływanie"
"233",233,"siłownia"
"234",234,"jazda konna, pływanie"
